iter	Passed	Remaining
675	7847	3761
676	7860	3750
677	7873	3739
678	7885	3727
679	7898	3716
680	7911	3705
681	7922	3694
682	7936	3683
683	7949	3672
684	7961	3661
685	7974	3650
686	7988	3639
687	7999	3627
688	8011	3616
689	8023	3604
690	8034	3593
691	8046	3581
692	8057	3569
693	8071	3559
694	8082	3546
695	8095	3535
696	8109	3525
697	8122	3514
698	8132	3502
699	8146	3491
700	8158	3479
701	8168	3467
702	8179	3455
703	8192	3444
704	8203	3432
705	8214	3420
706	8225	3408
707	8237	3397
708	8249	3385
709	8259	3373
710	8270	3361
711	8281	3349
712	8293	3338
713	8307	3327
714	8318	3315
715	8329	3303
716	8341	3292
717	8355	3281
718	8371	3271
719	8385	3261
720	8396	3248
721	8408	3237
722	8422	3226
723	8432	3214
724	8444	3203
725	8455	3191
726	8466	3179
727	8476	3167
728	8487	3155
729	8497	3142
730	8509	3131
731	8522	3120
732	8534	3108
733	8544	3096
734	8556	3085
735	8568	3073
736	8579	3061
737	8591	3050
738	8604	3038
739	8615	3026
740	8625	3014
741	8635	3002
742	8646	2990
743	8660	2979
744	8672	2968
745	8685	2957
746	8699	2946
747	8711	2934
748	8723	2923
749	8736	2912
750	8752	2902
751	8767	2891
752	8781	2880
753	8792	2868
754	8804	2856
755	8815	2845
756	8825	2833
757	8836	2821
758	8847	2809
759	8858	2797
760	8868	2785
761	8880	2773
762	8891	2761
763	8902	2749
764	8913	2738
765	8925	2726
766	8936	2714
767	8948	2703
768	8962	2692
769	8973	2680
770	8988	2669
771	8999	2657
772	9012	2646
773	9025	2635
774	9039	2624
775	9051	2612
776	9063	2601
777	9076	2589
778	9090	2578
779	9104	2567
780	9115	2556
781	9128	2544
782	9138	2532
783	9150	2521
784	9161	2509
785	9174	2498
786	9186	2486
787	9197	2474
788	9209	2462
789	9219	2450
790	9229	2438
791	9241	2427
792	9252	2415
793	9262	2403
794	9273	2391
795	9283	2379
796	9296	2367
797	9308	2356
798	9320	2344
799	9333	2333
800	9344	2321
801	9357	2310
802	9368	2298
803	9380	2286
804	9393	2275
805	9404	2263
806	9414	2251
807	9425	2239
808	9436	2227
809	9446	2215
810	9458	2204
811	9469	2192
812	9481	2180
813	9492	2169
814	9504	2157
815	9514	2145
816	9528	2134
817	9540	2122
818	9552	2111
819	9564	2099
820	9577	2088
821	9590	2076
822	9604	2065
823	9615	2053
824	9626	2041
825	9636	2029
826	9646	2017
827	9656	2005
828	9666	1994
829	9678	1982
830	9689	1970
831	9699	1958
832	9710	1946
833	9723	1935
834	9734	1923
835	9746	1912
836	9758	1900
837	9771	1888
838	9782	1877
839	9793	1865
840	9805	1853
841	9815	1841
842	9826	1830
843	9837	1818
844	9849	1806
845	9859	1794
846	9870	1782
847	9880	1771
848	9890	1759
849	9901	1747
850	9911	1735
851	9924	1723
852	9936	1712
853	9948	1700
854	9959	1689
855	9972	1677
856	9984	1666
857	9994	1654
858	10006	1642
859	10017	1630
860	10027	1618
861	10037	1606
862	10047	1595
863	10058	1583
864	10068	1571
865	10079	1559
866	10089	1547
867	10099	1535
868	10108	1523
869	10119	1512
870	10130	1500
871	10142	1488
872	10157	1477
873	10169	1466
874	10184	1454
875	10196	1443
876	10207	1431
877	10219	1420
878	10231	1408
879	10242	1396
880	10255	1385
881	10266	1373
882	10277	1361
883	10290	1350
884	10300	1338
885	10311	1326
886	10322	1315
887	10335	1303
888	10348	1292
889	10360	1280
890	10372	1268
891	10385	1257
892	10396	1245
893	10407	1233
894	10421	1222
895	10435	1211
896	10448	1199
897	10457	1187
898	10467	1175
899	10477	1164
900	10488	1152
901	10501	1141
902	10512	1129
903	10525	1117
904	10536	1106
905	10550	1094
906	10563	1083
907	10577	1071
908	10588	1060
909	10602	1048
910	10614	1036
911	10626	1025
912	10637	1013
913	10648	1001
914	10657	990
915	10668	978
916	10678	966
917	10688	954
918	10699	943
919	10709	931
920	10720	919
921	10730	907
922	10742	896
923	10752	884
924	10764	872
925	10777	861
926	10790	849
927	10801	838
928	10815	826
929	10828	815
930	10839	803
931	10852	791
932	10862	780
933	10873	768
934	10883	756
935	10895	744
936	10905	733
937	10916	721
938	10926	709
939	10939	698
940	10950	686
941	10964	675
942	10978	663
943	10989	651
944	11001	640
945	11013	628
946	11027	617
947	11040	605
948	11050	593
949	11061	582
950	11071	570
951	11081	558
952	11091	547
953	11101	535
954	11113	523
955	11122	511
956	11133	500
957	11143	488
958	11154	476
959	11164	465
960	11176	453
961	11187	441
962	11198	430
963	11213	418
964	11224	407
965	11236	395
966	11247	383
967	11260	372
968	11274	360
969	11287	349
970	11297	337
971	11308	325
972	11321	314
973	11331	302
974	11340	290
975	11351	279
976	11361	267
977	11372	255
978	11386	244
979	11398	232
980	11409	220
981	11422	209
982	11433	197
983	11444	186
984	11455	174
985	11465	162
986	11478	151
987	11488	139
988	11499	127
989	11509	116
990	11519	104
991	11529	92
992	11540	81
993	11550	69
994	11562	58
995	11573	46
996	11584	34
997	11594	23
998	11606	11
999	11617	0
