iter	MultiClass
125	1.078035156
126	1.07786499
127	1.07757959
128	1.077225423
129	1.076729818
130	1.076312419
131	1.075983643
132	1.075888184
133	1.075762288
134	1.075501465
135	1.075285482
136	1.074992757
137	1.074728434
138	1.074340332
139	1.074214518
140	1.073999593
141	1.073505778
142	1.073226725
143	1.073006348
144	1.072681234
145	1.072472656
146	1.072151693
147	1.071745768
148	1.071600505
149	1.071079508
150	1.070917074
151	1.070730143
152	1.0705625
153	1.070334473
154	1.069828125
155	1.069665934
156	1.069479167
157	1.069212565
158	1.068960693
159	1.06865625
160	1.068408854
161	1.068156576
162	1.067802572
163	1.067654622
164	1.067390299
165	1.067017415
166	1.066954997
167	1.066852865
168	1.066444336
169	1.06620459
170	1.065991862
171	1.065795654
172	1.065617757
173	1.065405924
174	1.064974528
175	1.06475179
176	1.06455306
177	1.06436141
178	1.064187988
179	1.063769287
180	1.063553223
181	1.063246745
182	1.062985026
183	1.062626139
184	1.062388509
185	1.062198812
186	1.062061198
187	1.061762207
188	1.061612549
189	1.061560954
190	1.0612618
191	1.060986165
192	1.060854818
193	1.060561768
194	1.060293864
195	1.060025228
196	1.059891764
197	1.059649984
198	1.059502279
199	1.059248698
200	1.058983887
201	1.058868001
202	1.058503418
203	1.058377279
204	1.058271647
205	1.058151204
206	1.058099935
207	1.057954183
208	1.057797852
209	1.057586833
210	1.05727181
211	1.057140218
212	1.056965983
213	1.056635824
214	1.056454753
215	1.056114176
216	1.055951904
217	1.055747721
218	1.05566984
219	1.055642822
220	1.055438639
221	1.055304118
222	1.055070801
223	1.054936686
224	1.054793457
225	1.054542399
226	1.054481852
227	1.054343424
228	1.054103516
229	1.054039307
230	1.054017171
231	1.053688721
232	1.053470947
233	1.053330404
234	1.053119385
235	1.05281722
236	1.052531494
237	1.052304199
238	1.052160645
239	1.051983561
240	1.051894206
241	1.051869385
242	1.051717692
243	1.051560628
244	1.051448812
245	1.051252523
246	1.051104899
247	1.051056803
248	1.050856689
249	1.050713704
250	1.050629883
251	1.050523275
252	1.050254313
253	1.050027913
254	1.049911377
255	1.049752116
256	1.049611735
257	1.049305745
258	1.049144368
259	1.048903483
260	1.048495117
261	1.048459635
262	1.048299805
263	1.04813029
264	1.047957357
265	1.047853027
266	1.047802327
267	1.047592448
268	1.047356527
269	1.04729069
270	1.047061849
271	1.046827718
272	1.046729655
273	1.046499593
274	1.046394287
275	1.046249105
276	1.046108724
277	1.045958659
278	1.045828451
279	1.045594727
280	1.045400391
281	1.045360107
282	1.045038167
283	1.04493514
284	1.044816325
285	1.044568685
286	1.04448112
287	1.044271647
288	1.044218913
289	1.044096924
290	1.044065918
291	1.04387264
292	1.043829997
293	1.043719727
294	1.043603271
295	1.043405111
296	1.043283854
297	1.043088949
298	1.042789876
299	1.042621745
300	1.042413493
301	1.04223055
302	1.042037435
303	1.041844971
304	1.041719401
305	1.041587077
306	1.041520833
307	1.041271973
308	1.041000081
309	1.040825521
310	1.040649333
311	1.040452067
312	1.040324219
313	1.040063395
314	1.039877441
315	1.03976473
316	1.039656331
317	1.039460612
318	1.039330485
319	1.039143799
320	1.039040039
321	1.038977376
322	1.038748861
323	1.038585449
324	1.038482178
325	1.038230957
326	1.03801766
327	1.037938883
328	1.03779126
329	1.037648193
330	1.037613525
331	1.037543376
332	1.037413086
333	1.03730542
334	1.037184245
335	1.037079915
336	1.036973307
337	1.036798991
338	1.03665861
339	1.036432292
340	1.03630127
341	1.036118652
342	1.035942708
343	1.035794352
344	1.035642904
345	1.035527507
346	1.035461263
347	1.035278809
348	1.035074056
349	1.034985433
350	1.034845133
351	1.034670492
352	1.034540609
353	1.034376383
354	1.034197754
355	1.034063395
356	1.033919922
357	1.033754232
358	1.033631022
359	1.03351123
360	1.033338704
361	1.033215983
362	1.033037923
363	1.032836589
364	1.032741862
365	1.032701579
366	1.032499756
367	1.032431885
368	1.032402507
369	1.032279134
370	1.032188477
371	1.032053955
372	1.031833415
373	1.031686279
374	1.031541585
375	1.031436686
376	1.031312826
377	1.031145182
378	1.031087728
379	1.031008708
380	1.030817464
381	1.030614421
382	1.030463867
383	1.030385986
384	1.030156087
385	1.030029785
386	1.02985376
387	1.029711589
388	1.02961377
389	1.029469971
390	1.029308268
391	1.029211914
392	1.029071859
393	1.028953613
394	1.028869466
395	1.02874471
396	1.028589437
397	1.02840861
398	1.028347331
399	1.028159017
400	1.028088542
401	1.027994222
402	1.027865153
403	1.027734782
404	1.027699463
405	1.027571126
406	1.027385254
407	1.027284424
408	1.027133626
409	1.026899414
410	1.02676001
411	1.02661084
412	1.026566081
413	1.026479899
414	1.026275309
415	1.026043376
416	1.026006999
417	1.025941813
418	1.025817871
419	1.025677653
420	1.02557137
421	1.025458496
422	1.02538265
423	1.025349202
424	1.025298258
425	1.025152588
426	1.025062174
427	1.024991374
428	1.02484904
429	1.024694173
430	1.024565104
431	1.024440999
432	1.02434196
433	1.024256185
434	1.024105225
435	1.024036377
436	1.023921549
437	1.023775065
438	1.023616781
439	1.023403564
440	1.023365234
441	1.023259196
442	1.023149577
443	1.022941162
444	1.022878906
445	1.022756673
446	1.022669759
447	1.022600749
448	1.022420247
449	1.022344238
450	1.022233236
451	1.022165527
452	1.021942627
453	1.02181958
454	1.021657715
455	1.021531738
456	1.021464925
457	1.021432861
458	1.021270426
459	1.021058105
460	1.020967529
461	1.020859375
462	1.020717529
463	1.020521077
464	1.020425537
465	1.020377197
466	1.020205485
467	1.020044759
468	1.019911702
469	1.019795817
470	1.019734863
471	1.019640218
472	1.019598796
473	1.019498942
474	1.01937321
475	1.019253011
476	1.019138916
477	1.0189139
478	1.018819661
479	1.018741455
480	1.018643717
481	1.01855599
482	1.018476888
483	1.018312907
484	1.018236979
485	1.018210449
486	1.018141846
487	1.018108887
488	1.018019613
489	1.017867594
490	1.017790527
491	1.017723226
492	1.017629313
493	1.017570394
494	1.017399414
495	1.017303874
496	1.01720931
497	1.017062093
498	1.016895508
499	1.016775391
500	1.016597168
501	1.016524007
502	1.016415934
503	1.016398926
504	1.016291829
505	1.016132731
506	1.015985677
507	1.015890544
508	1.015860107
509	1.015770426
510	1.015611165
511	1.015568034
512	1.015488851
513	1.015365885
514	1.015192627
515	1.014975098
516	1.014912109
517	1.014821452
518	1.014761393
519	1.01471346
520	1.014616618
521	1.014524414
522	1.014445068
523	1.014336182
524	1.014159831
525	1.014056885
526	1.01394165
527	1.013809001
528	1.013611328
529	1.013485433
530	1.013409017
531	1.013295329
532	1.013189941
533	1.013110352
534	1.013004557
535	1.012860596
536	1.012601562
537	1.012479818
538	1.012335693
539	1.012212809
540	1.01210791
541	1.012021077
542	1.011833333
543	1.011687419
544	1.011559082
545	1.011452148
546	1.011366862
547	1.011290527
548	1.011186361
549	1.011146077
550	1.011067301
551	1.011013021
552	1.010958984
553	1.010885905
554	1.010727539
555	1.01070459
556	1.010543132
557	1.010405924
558	1.010221517
559	1.010120605
560	1.010000326
561	1.009853597
562	1.009726074
563	1.009609701
564	1.009532308
565	1.009462728
566	1.00928597
567	1.009076497
568	1.00898584
569	1.008961833
570	1.00872054
571	1.008603597
572	1.008533773
573	1.008453613
574	1.008286784
575	1.008207845
576	1.008132568
577	1.008068197
578	1.007975749
579	1.007908529
580	1.007885417
581	1.007773844
582	1.007696045
583	1.007669271
584	1.007556885
585	1.007469564
586	1.007342692
587	1.007248128
588	1.00715446
589	1.007046143
590	1.006990967
591	1.006937012
592	1.006834798
593	1.006790283
594	1.006710531
595	1.006517822
596	1.006454671
597	1.006327148
598	1.006229574
599	1.006208333
600	1.006040446
601	1.005962077
602	1.00582015
603	1.005769124
604	1.005728353
605	1.005637777
606	1.005512777
607	1.005392741
608	1.005313883
609	1.005250326
610	1.005197184
611	1.005003174
612	1.004917074
613	1.004812663
614	1.004701742
615	1.004653646
616	1.004542887
617	1.004445068
618	1.004378092
619	1.004259684
620	1.004156657
621	1.00405957
622	1.003932129
623	1.003835612
624	1.003737712
625	1.003678548
626	1.003575195
627	1.003485107
628	1.003397542
629	1.003371663
630	1.003326253
631	1.003169678
632	1.003085938
633	1.003010498
634	1.002931803
635	1.002883057
636	1.002796143
637	1.002708252
638	1.002631185
639	1.002491781
640	1.002383464
641	1.002309896
642	1.002131592
643	1.002079346
644	1.00204834
645	1.001967448
646	1.001863444
647	1.001740316
648	1.001701823
649	1.001643473
650	1.001523682
651	1.001359782
652	1.00124471
653	1.001174967
654	1.001088053
655	1.001005127
656	1.000836914
657	1.000828044
658	1.000748942
659	1.000695719
660	1.000575277
661	1.000489421
662	1.000335124
663	1.000213216
664	1.000121582
665	1.000104085
666	1.000005371
667	0.9999267578
668	0.9997832845
669	0.9996912435
670	0.9996433919
671	0.9995272624
672	0.9994165039
673	0.9993156738
674	0.999195638
675	0.9991469727
676	0.9989299316
677	0.9988425293
678	0.9987815755
679	0.9986581217
680	0.998486084
681	0.9984391276
682	0.9984069824
683	0.9982862142
684	0.998136556
685	0.9980101725
686	0.997950765
687	0.9978516439
688	0.9977784017
689	0.9976820475
690	0.9975953776
691	0.9975442708
692	0.9974638672
693	0.9973584798
694	0.9973441569
695	0.9972407227
696	0.9972214355
697	0.9971446126
698	0.9970863444
699	0.9970170898
700	0.9969513346
701	0.9969124349
702	0.9968686523
703	0.9967501628
704	0.9966270345
705	0.9965391439
706	0.9965164388
707	0.9964358724
708	0.9963075358
709	0.9961677246
710	0.9961360677
711	0.9960649414
712	0.9960232747
713	0.9959248861
714	0.9958980306
715	0.9957949219
716	0.9957106934
717	0.9956227214
718	0.9955782064
719	0.9955384928
720	0.995517334
721	0.9954755046
722	0.9953625488
723	0.9951852214
724	0.9950816243
725	0.9950013021
726	0.9949388021
727	0.9948129883
728	0.9947166341
729	0.9946705729
730	0.9946025391
731	0.994441569
732	0.9943765462
733	0.9942385254
734	0.9941385905
735	0.9941044922
736	0.9939661458
737	0.9938680827
738	0.9938421224
739	0.9937635091
740	0.9936587728
741	0.9935809733
742	0.993507487
743	0.9934540202
744	0.9933915202
745	0.9933205566
746	0.9931446126
747	0.993057373
748	0.9929341634
749	0.9928399251
750	0.9928210449
751	0.9927099609
752	0.9926563314
753	0.9926359049
754	0.9925328776
755	0.9924625651
756	0.9924044596
757	0.9922654622
758	0.9921865234
759	0.9920983073
760	0.9920426432
761	0.9919755859
762	0.991855957
763	0.991707194
764	0.9916560872
765	0.9915373535
766	0.9914418945
767	0.9913231608
768	0.9911833496
769	0.9911401367
770	0.9910670573
771	0.9910249837
772	0.9909090983
773	0.9908328451
774	0.9907360026
775	0.9906207682
776	0.9906022949
777	0.9905627441
778	0.990516276
779	0.9904619141
780	0.9903224284
781	0.9902773437
782	0.9902556152
783	0.9901888021
784	0.9901494141
785	0.9900310059
786	0.9899566243
787	0.9898913574
788	0.9898805339
789	0.9898003743
790	0.9897613932
791	0.9896659342
792	0.9896037598
793	0.9895369466
794	0.9895056966
795	0.9894506022
796	0.9893697917
797	0.9892866211
798	0.989190918
799	0.9891394043
800	0.9890853678
801	0.9890227865
802	0.9889314779
803	0.9887931315
804	0.9886652832
805	0.9885917155
806	0.9885741374
807	0.9885416667
808	0.9884561361
809	0.9883525391
810	0.9882993164
811	0.9882709961
812	0.9882373047
813	0.988164388
814	0.9881441243
815	0.9881202799
816	0.9880349121
817	0.9879750977
818	0.9878699544
819	0.9878243815
820	0.9876848958
821	0.9875812174
822	0.9875029297
823	0.987333903
824	0.987238444
825	0.9871775716
826	0.9871212565
827	0.9870621745
828	0.9869405924
829	0.9868900553
830	0.9867840983
831	0.9867210286
832	0.986655599
833	0.9866276855
834	0.9865110677
835	0.9864220378
836	0.9863589681
837	0.9863207194
838	0.9863072103
839	0.9862406413
840	0.9861477865
841	0.986105306
842	0.9859547526
843	0.9858711751
844	0.9858329264
845	0.9857548828
846	0.9857143555
847	0.9856760254
848	0.9856058757
849	0.9855347493
850	0.9854641927
851	0.9854187012
852	0.9853272298
853	0.9852640788
854	0.9852243652
855	0.9851638997
856	0.9851026204
857	0.9850048014
858	0.9849333496
859	0.9848509115
860	0.9847933757
861	0.9846617839
862	0.9845926921
863	0.9844797363
864	0.9844405924
865	0.9843707682
866	0.9843445638
867	0.9843138835
868	0.9842973633
869	0.9842792969
870	0.9841472168
871	0.9840977376
872	0.9840397135
873	0.9839742839
874	0.9838227539
875	0.9836988932
876	0.9836086426
877	0.9835783691
878	0.9835113932
879	0.9834699707
880	0.9834399414
881	0.9834163411
882	0.9833681641
883	0.9832784831
884	0.983225179
885	0.9831923828
886	0.9831368001
887	0.9830777181
888	0.9829709473
889	0.9829003906
890	0.9828902995
891	0.9828296712
892	0.98277889
893	0.9826710612
894	0.9825833333
895	0.9824853516
896	0.9823722331
897	0.9823349609
898	0.9822995605
899	0.9822397461
900	0.9822298177
901	0.9821517741
902	0.9821060384
903	0.9820152181
904	0.9819879557
905	0.9819812826
906	0.9818868815
907	0.9818120117
908	0.9817670898
909	0.9816577148
910	0.9815739746
911	0.9815166016
912	0.9814099935
913	0.9813763021
914	0.9813470052
915	0.9812608236
916	0.9811346029
917	0.9811111654
918	0.9810634766
919	0.9809624837
920	0.9809363607
921	0.9808926595
922	0.9808040365
923	0.9806534831
924	0.9805824382
925	0.9805347493
926	0.9804798177
927	0.9803938802
928	0.9803072917
929	0.9802585449
930	0.9802360026
931	0.9801629232
932	0.9800877279
933	0.9800195312
934	0.9799379883
935	0.9799007161
936	0.9798712565
937	0.979755778
938	0.9796994629
939	0.979642985
940	0.9795942383
941	0.9795249023
942	0.979449707
943	0.9794133301
944	0.979384196
945	0.9793022461
946	0.9792094727
947	0.9791310221
948	0.9790669759
949	0.9790071615
950	0.9789631348
951	0.9788979492
952	0.9788491211
953	0.9787519531
954	0.9786979167
955	0.9786813965
956	0.9785721029
957	0.9784960124
958	0.978444987
959	0.9783619792
960	0.9782722982
961	0.9781416016
962	0.9781095378
963	0.9780596517
964	0.9780378418
965	0.9779766439
966	0.9779231771
967	0.9778063965
968	0.9777422689
969	0.9776927083
970	0.9775636393
971	0.977521403
972	0.9773937988
973	0.977322998
974	0.9772927246
975	0.9772498372
976	0.9771447754
977	0.9770211589
978	0.9769851888
979	0.9769121908
980	0.9768381348
981	0.9767626953
982	0.9767205404
983	0.9766629232
984	0.9765979818
985	0.9765169271
986	0.9765048014
987	0.9764562174
988	0.976412679
989	0.9763430176
990	0.9762571615
991	0.976201416
992	0.9761309408
993	0.9760576172
994	0.9759375
995	0.9758742676
996	0.9758486328
997	0.9757036133
998	0.975632487
999	0.9754759928
